pathway	external_id	source	hgnc_symbol_ids
Glycosaminoglycan degradation - Homo sapiens (human)	path:hsa00531	KEGG	HPSE,GNS,ARSB,HEXA,HYAL2,HYAL1,HEXB,GALNS,IDS,GLB1,HYAL4,HYAL3,NAGLU,HGSNAT,SGSH,HPSE2,IDUA,GUSB
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	path:hsa00532	KEGG	CHST11,CHST13,B3GALT6,CHST12,CHST15,CHST14,CHSY1,CHPF2,XYLT2,CHSY3,XYLT1,UST,B4GALT7,DSE,B3GAT3,CHST3,CHPF,CSGALNACT2,CHST7,CSGALNACT1
Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	path:hsa00533	KEGG	ST3GAL3,ST3GAL2,ST3GAL1,CHST2,B3GNT2,B4GALT4,B4GALT1,B4GAT1,B3GNT7,FUT8,CHST1,B4GALT3,B4GALT2,CHST4,CHST6
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	path:hsa00534	KEGG	HS3ST5,HS3ST2,HS3ST1,HS2ST1,B3GAT3,NDST4,NDST1,NDST2,NDST3,HS3ST3A1,B4GALT7,HS3ST3B1,B3GALT6,EXT2,EXT1,EXTL1,EXTL2,EXTL3,XYLT2,XYLT1,GLCE,HS6ST1,HS6ST2,HS6ST3
Progesterone-mediated oocyte maturation - Homo sapiens (human)	path:hsa04914	KEGG	PLK1,PKMYT1,AKT1,AKT2,AKT3,ARAF,PIK3CA,PIK3CB,PIK3CD,ANAPC10,ANAPC13,PIK3CG,HSP90AB1,IGF1R,MOS,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,FZR1,ADCY8,ADCY9,CDC16,RAF1,CDK2,PIK3R5,PIK3R3,PIK3R2,PIK3R1,IGF1,BUB1,CDC25C,CDC25B,CDC25A,ANAPC1,ANAPC2,ANAPC5,ANAPC4,ANAPC7,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,CDC27,CDC26,CDC23,INS,ANAPC11,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,GNAI2,GNAI3,GNAI1,SPDYA,SPDYC,PDE3A,PDE3B,MAPK3,MAPK1,MAPK8,MAPK9,CDK1,PRKACG,PRKACA,PRKACB,HSP90AA1,MAD2L2,MAD2L1,CPEB4,CPEB1,CPEB3,CPEB2,MAP2K1,PRKX,CCNA2,CCNA1,MAD1L1,PGR,CCNB3,CCNB2,CCNB1,BRAF
Hedgehog signaling pathway - Homo sapiens (human)	path:hsa04340	KEGG	WNT3A,FBXW11,IHH,SUFU,PTCH1,SMO,PRKX,WNT8A,WNT10A,WNT10B,WNT8B,GLI2,GLI3,CSNK1D,GLI1,ZIC2,GSK3B,WNT2B,WNT9A,DHH,GAS1,CSNK1G2,CSNK1G3,CSNK1G1,WNT16,SHH,CSNK1A1,LRP2,BMP4,CSNK1A1L,RAB23,BMP2,WNT3,WNT2,WNT1,BTRC,WNT6,WNT4,CSNK1E,PRKACG,PRKACA,WNT9B,STK36,PRKACB,PTCH2,WNT5B,WNT5A,HHIP,WNT7A,WNT11,WNT7B
Statin Pathway - Generalized, Pharmacokinetics	PA145011108	PharmGKB	CYP2C9,UGT2B7,ABCG2,CYP2D6,CYP2C8,SLC22A6,ABCB1,SLCO1B3,SLCO1B1,ABCB11,CYP2C19,SLCO1A2,SLCO2B1,CYP3A4,SLC15A1,SLC22A8,UGT1A1,ABCC2,UGT1A3
Atorvastatin/Lovastatin/Simvastatin Pathway, Pharmacokinetics	PA145011109	PharmGKB	CYP2C9,UGT2B7,CYP2D6,CYP2C8,ABCB1,SLCO1B1,SLCO1B3,CYP2C19,SLCO2B1,CYP3A4,UGT1A1,ABCC2,UGT1A3
Pravastatin Pathway, Pharmacokinetics	PA145011110	PharmGKB	ABCG2,SLCO1B3,SLCO1B1,SLC22A6,SLCO2B1,ABCB11,SLC22A8,ABCC2,ABCB1
Fluvastatin Pathway, Pharmacokinetics	PA145011111	PharmGKB	CYP2C9,CYP2C8,CYP2D6,UGT2B7,SLCO1B1,SLCO1B3,CYP2C19,SLCO2B1,CYP3A4,SLC15A1,UGT1A1,UGT1A3
Rosuvastatin Pathway, Pharmacokinetics	PA145011112	PharmGKB	SLCO1B1,SLCO1B3,ABCB11,SLCO2B1
Warfarin Pathway, Pharmacokinetics	PA145011113	PharmGKB	CYP2C9,CYP1A1,CYP1A2,CYP2C8,ABCB1,CYP2C19,CYP2C18,CYP3A4
Warfarin Pathway, Pharmacodynamics	PA145011114	PharmGKB	EPHX1,F2,GGCX,PROZ,F7,F9,VKORC1,CALU,BGLAP,MGP,PROS1,F10,PROC,GAS6
Phenytoin Pathway, Pharmacokinetics	PA145011115	PharmGKB	CYP2C9,CYP2C8,CYP1A2,TBXAS1,CYP2D6,EPHX1,CYP3A4,CYP2B6,COMT,CYP2E1,NQO1,UGT1A9,CYP2C19,PTGIS,UGT1A4,CYP3A7,UGT1A6,UGT1A1,CYP2A6
Aromatase Inhibitor Pathway (Multiple Tissues), Pharmacodynamics	PA145011117	PharmGKB	SULT1E1,HSD17B1,SULT1A1,STS
Estrogen Metabolism Pathway	PA145011118	PharmGKB	UGT2B7,CYP1A2,CYP1B1,CYP1A1,SULT1A1,COMT,SULT1E1,UGT1A8,UGT1A9,UGT1A4,HSD17B1,UGT1A3,UGT1A1,SULT2A1
Tamoxifen Pathway, Pharmacokinetics	PA145011119	PharmGKB	CYP2C9,UGT2B7,CYP1A2,FMO1,CYP2D6,UGT1A10,FMO3,CYP2B6,SULT1A1,UGT2B15,UGT1A8,UGT1A4,CYP2C19,CYP3A4,UGT1A3,SULT1E1,SULT2A1
Aromatase Inhibitor Pathway (Breast Cell), Pharmacodynamics	PA145011120	PharmGKB	HSD17B1,ESR1
Codeine and Morphine Pathway, Pharmacokinetics	PA146123006	PharmGKB	UGT2B7,CYP2D6,CYP2D7,SLCO1B1,ABCB1,CYP3A4,UGT1A1,ABCC2,ABCC3
Platinum Pathway, Pharmacokinetics/Pharmacodynamics	PA150642262	PharmGKB	ABCG2,MT2A,GSTT1,SOD1,GSTM1,NQO1,SLC31A1,GSTP1,MPO,ATP7A,MT1A,ABCC2,ATP7B
Fluoropyrimidine Pathway, Pharmacokinetics	PA150653776	PharmGKB	RRM1,RRM2,SLC29A1,UPB1,DPYD,DPYS,SLC22A7,UMPS,UCK1,UCK2,ABCG2,CES1,CES2,CYP2A6,TK1,UPP2,UPP1,CDA,TYMS,TYMP,PPAT,ABCC4,ABCC5,ABCC3
Vinka Alkaloid Pathway, Pharmacokinetics	PA150981002	PharmGKB	RALBP1,BAX,ABCB1,ABCC2,CYP3A4,ABCC3,ABCC1,ABCC10,BCL2
Celecoxib Pathway, Pharmacodynamics	PA152241951	PharmGKB	PTGS2,PTGFR,ATP2A1,ATP2A2,ATP2A3,CDKN1B,CDKN1A,PTGS1,CTNNB1,AKT1,PTGER2,MMP9,PTGDR,CACNA1G,PTGES,AKR1C3,CACNA1H,CACNA1I,CACNB3,CACNB2,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1F,CACNB4,CACNA1S,DDIT3,TBXAS1,PTGER3,KCNQ4,KCNQ5,KCNQ2,CA12,KCNQ1,KCNQ3,PLA2G2A,IGFBP3,VEGFA,PTGIS,CACNA2D2,CACNA2D3,PLA2G4A,CACNA2D1,BCAR1,HPGDS,CACNA2D4,CA9,CASP3,PPARG,CASP9,PDK1,PTGER4,CACNA1A,CACNB1
Gefitinib Pathway, Pharmacokinetics	PA152325160	PharmGKB	CYP2C9,CYP1A1,ABCG2,CYP2D6,ABCB1,CYP2C19,CYP3A4
Proton Pump Inhibitor Pathway, Pharmacodynamics	PA152530845	PharmGKB	PRKCH,PLCZ1,PLCG2,PLCG1,AKT3,PLCE1,ADCY2,CCKBR,PDE3A,PLCH2,PIK3R5,PLCH1,CASR,AKAP2,PRKCI,PLCB1,PLCB2,PLCB3,PLCB4,PRKCA,PLCL2,PRKCB,CHRM3,PRKCG,PLCL1,PIK3C2B,PIK3C2A,PRKCZ,PLCD3,PLCD1,PLCD4,AKAP1,ADCY4,ADCY5,ADCY6,ADCY7,ATP4A,ATP4B,ADCY3,GNAS,ADCY8,ADCY9,PRKD1,ADCY1
Proton Pump Inhibitor Pathway, Pharmacokinetics	PA152530846	PharmGKB	CYP3A4,CYP2C19,ABCB1
Anti-diabetic Drug Potassium Channel Inhibitors Pathway, Pharmacodynamics	PA153627758	PharmGKB	PIK3CD,SLC2A2,AKT1,MAFA,CACNA1A,PIK3CB,CACNA1C,CACNA1D,PIK3CG,HNF1B,PIK3R5,HNF1A,PIK3R3,PIK3R2,PIK3R1,ISL1,KCNJ11,GCK,PIK3C2A,NEUROD1,HNF4A,IRS1,IRS2,INS,ABCC8,PIK3CA,PDX1
Anti-diabetic Drug Repaglinide Pathway, Pharmacokinetics	PA153627759	PharmGKB	SLCO1B1,CYP2C8,CYP3A4
Anti-diabetic Drug Nateglinide Pathway, Pharmacokinetics	PA154423659	PharmGKB	CYP2C9,SLCO1B1,CYP3A4
Bisphosphonate Pathway, Pharmacodynamics	PA154423660	PharmGKB	FDPS,RAC2,RAC3,HMGCS1,RAB1A,HRAS,RAC1,NRAS,MRAS,RAP1A,RRAS,HMGCR,RHOA,KRAS,FDFT1,SQLE,CDC42
Clopidogrel Pathway, Pharmacokinetics	PA154424674	PharmGKB	CYP2C9,CYP1A2,CYP2B6,CES1,ABCB1,CYP2C19,CYP3A4
Taxane Pathway, Pharmacokinetics	PA154426155	PharmGKB	CYP2C8,ABCG2,CYP1B1,MAPT,ABCB1,MAP2,NR1I2,SLCO1B3,MAP4,CYP3A4,ABCC1,ABCC2
Erlotinib Pathway, Pharmacokinetics	PA154426903	PharmGKB	CYP1A1,CYP1A2,CYP2C8,EGFR,ABCG2,ABCB1,CYP3A4,UGT1A1
Platelet Aggregation Inhibitor Pathway, Pharmacodynamics	PA154444041	PharmGKB	PTGS1,ITGA2,CD36,PLCG2,P2RX1,COL3A1,PTGDR,GNAI2,GNAI3,GNAI1,ITGA2B,PTGER2,GP1BB,GP9,GP5,GP6,FGG,FGA,FGB,PLCB1,ITGB3,TBXAS1,COL1A2,COL1A1,GNB3,PLA2G2A,COL4A6,COL4A5,COL4A4,COL4A3,COL4A2,COL4A1,PLA2G4B,PLA2G4A,P2RY1,F2,GNAQ,GNAS,ADCY3,F2R,GNA15,GNA12,GNA13,GNA11,F2RL3,VWF
Tenofovir/Adefovir Pathway, Pharmacodynamics	PA155028030	PharmGKB	NME1,NME2,AK2,AK4,SLC26A8,SLC22A6,ABCC4
Tenofovir/Adefovir Pathway, Pharmacokinetics	PA155028030	PharmGKB	NME1,NME2,AK2,AK4,SLC26A8,SLC22A6,ABCC4,ABCC10
Nicotine Pathway (Dopaminergic Neuron), Pharmacodynamics	PA162355621	PharmGKB	STX1A,STX1B,DRD2,STX4,STX6,GNAI1,PPP1R1B,KCNK9,SNAP25,CHRNB2,KCNK3,TH,PRKACA,SEC22B,GNB1,VAMP3,YKT6,CHRNA4,CHRNA5,CHRNA6,STX18,DDC,VAMP1,STX8,SEC22A,VAMP2,VAMP5,VAMP4,ADCY2,PPP1CA,VAMP8,DRD4,STX2,STX5,DRD3,STX7,DRD1,STX11,STX10,STX12,GNG2,CDK5,STX17,STX16,STX19,SLC18A2,STX3
EGFR Inhibitor Pathway, Pharmacodynamics	PA162356267	PharmGKB	CAMK1D,CAMK1G,NRAS,HRAS,MAPK8,EGFR,MAP2K1,RRAS,PLCG2,AKT2,AKT3,MAP2K7,SHC3,RAF1,EGF,TGFA,AREG,STAT4,STAT3,ERBB4,STAT1,MAPK3,CAMK1,PIK3CA,PIK3CB,MAP3K1,PIK3CD,PIK3CG,HBEGF,MAPK1,PIK3R3,PIK3R2,PIK3R1,JAK1,NRG1,NFKB1,MYC,NRG2,NRG3,ERBB2,ERBB3,PRKCB,SHC1,SHC2,FOS,CAMK2D,CAMK2G,MRAS,CAMK2B,CAMK2A,JUN,PRKCA,PRKCG,STAT2,NFKB2,KRAS,RELA,SOS1,AKT1,PLCG1,STAT5B,STAT5A,ELK1,EREG,BTC
Imipramine/Desipramine Pathway, Pharmacokinetics	PA162359940	PharmGKB	CYP1A2,CYP2C19,CYP3A4,CYP2D6
Imatinib Pathway, Pharmacokinetics/Pharmacodynamics	PA164713427	PharmGKB	CYP2C9,CYP1A2,CYP2D6,ABCG2,KIT,ABCB1,CYP2C19,ABL1,CYP3A4,BCR
Losartan Pathway, Pharmacokinetics	PA164713428	PharmGKB	CYP2C9,UGT2B7,CYP3A4,AGTR1,UGT1A1
Citalopram Pathway, Pharmacokinetics	PA164713429	PharmGKB	CYP3A4,CYP2C19,ABCB1,CYP2D6,SLC6A4
Agents Acting on the Renin-Angiotensin System Pathway, Pharmacodynamics	PA165110622	PharmGKB	TGFB1,NOS3,ACE,AGTR2,ATP6AP2,KNG1,CTSG,MAPK3,CMA1,MAPK1,REN,MAS1,CYP11B2,MME,ACE2,AGTR1,AGT
Benzodiazepine Pathway, Pharmacokinetics	PA165111375	PharmGKB	UGT2B7,CYP1A2,CYP2D6,NAT2,UGT2B4,UGT2B15,CYP2C19,UGT1A9,UGT1A4,CYP3A4
Benzodiazepine Pathway, Pharmacodynamics	PA165111376	PharmGKB	DBI,SLC6A1,GABRA1,SLC32A1,BZRAP1,SLC25A4,ACBD3,SLC6A13,SLC6A12,SLC6A11,TSPO,VDAC1
Fluoropyrimidine Pathway, Pharmacodynamics	PA165291507	PharmGKB	SMUG1,DHFR,TP53,MTHFR,ERCC2,TDG,TYMS,FPGS,XRCC3,GGH
Antimetabolite Pathway - Folate Cycle, Pharmacodynamics	PA165291575	PharmGKB	DHFR,ATIC,MTR,MTHFD1,CBS,MTHFR,MTHFS,ADA,TYMS,PPAT,MTRR,GART,SHMT1
Doxorubicin Pathway (Cancer Cell), Pharmacodynamics	PA165292163	PharmGKB	ABCG2,NOS3,TP53,RALBP1,SOD1,SLC22A16,MSH2,ABCB1,MLH1,XDH,GPX1,ERCC2,CAT,NFKB1,NQO1,ABCC1,ABCC2,TOP2A
Doxorubicin Pathway (Cardiomyocyte Cell), Pharmacodynamics	PA165292164	PharmGKB	ATP2A2,NCF4,ATP5I,ATP5H,ATP5B,ATP5E,ATP5D,ATP5C1,ATP5A1,RYR2,CBR1,CBR3,AKR1C3,TOP2B,NOS1,NOS2,NOS3,RAC2,CYBA,ACO1,ATP5C1P1,AKR1A1,ATP5F1
Doxorubicin Pathway, Pharmacokinetics	PA165292177	PharmGKB	RALBP1,POR,NQO1,AKR1A1,AKR1C3,CBR1,CBR3,XDH,ABCB1,NOS1,NOS2,NOS3,SOD1,CAT,ABCG2,SLC22A16,GPX1,NDUFS2,NDUFS3,NDUFS7,ABCC1,ABCC2
Busulfan Pathway, Pharmacodynamics	PA165374494	PharmGKB	BCL2L1,BAG3,MSH2,BIRC2,MGST2,XIAP,BBC3,CTH,DPEP1,DPEP2,DPEP3,LTBR,STAT3,BCL2L10,MLH1,APEX1,BIK,MYC,CHEK2,FMO2,FMO3,FMO1,FMO4,FMO5,NAT2,NAT1,GSTA1,GGT2,GGT1,MGMT,BNIP3,MPG,GSTM1,CDK1,GSTP1,BCL2
Artemisinin and Derivatives Pathway, Pharmacokinetics	PA165378192	PharmGKB	UGT2B7,CYP3A4,CYP2B6,CYP2A6,UGT1A9
Amodiaquine Pathway, Pharmacokinetics	PA165815256	PharmGKB	CYP2C8,CYP1B1,CYP1A1
Methotrexate Pathway (Brain Cell), Pharmacokinetics	PA165816270	PharmGKB	ABCG2,ABCB1,SLC22A6,SLCO1A2,ABCC4,SLC22A8,ABCC1
Methotrexate Pathway, Pharmacokinetics	PA165816349	PharmGKB	ABCG2,ABCB1,SLCO1B3,ABCC1,SLCO1B1,SLC22A6,SLCO1A2,ABCC3,SLC46A1,SLC22A8,FOLR1,ABCC2,SLC19A1
Celecoxib Pathway, Pharmacokinetics	PA165816736	PharmGKB	CYP2C9,CYP3A4,CYP2D6,ADH1A,ADH1B
Rosiglitazone Pharmacokinetic Pathway	PA165816969	PharmGKB	SLCO1B1,CYP2C8,CYP2C9
Carbamazepine Pathway, Pharmacokinetics	PA165817070	PharmGKB	EPHX1,CYP1A2,RALBP1,CYP2C8,MPO,CYP2B6,CYP2E1,NR1I2,CYP2C19,CYP2A6,UGT2B7,CYP3A7,CYP3A4,ABCC2
Zidovudine Pathway, Pharmacokinetics/Pharmacodynamics	PA165859361	PharmGKB	CYP2C9,UGT2B7,ABCG2,NME1,NME2,SLC28A3,SLC28A1,POR,ABCB1,CYP2E1,SLC22A11,SLC22A6,SLC22A7,DTYMK,CYP2A6,TK1,ABCC4,ABCC5,CYP3A4,SLC22A8
Lamivudine Pathway, Pharmacokinetics/Pharmacodynamics	PA165860384	PharmGKB	PCYT1A,ABCG2,DCK,NME2,CMPK1,NT5C,PCYT2,NME1,ABCB1,CHPT1,SLC22A1,SLC22A2,SLC22A3,ABCC4,PGK1,ABCC1,ABCC2,ABCC3
Caffeine Pathway, Pharmacokinetics	PA165884757	PharmGKB	CYP2C9,CYP2C8,CYP1A2,NAT2,CYP2E1,XDH,CYP2A6,CYP3A4
Tramadol Pharmacokinetics	PA165946349	PharmGKB	UGT2B7,CYP2D6,CYP2B6,UGT1A8,SLC22A1,CYP3A4,ABCC2
Leukotriene modifiers pathway, Pharmacodynamics	PA165947317	PharmGKB	LTB4R,ALOX5,LTC4S,ALOX5AP,LTA4H,PLA2G4A,GGT1
Metformin Pathway, Pharmacokinetics	PA165948259	PharmGKB	SLC29A4,SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC27A1,SLC27A2
Metformin Pathway, Pharmacodynamic	PA165948566	PharmGKB	PRKAG1,PRKAG3,STK11,PRKAA2,PRKAA1,CRTC2,NDUFA2,NDUFAB1,NDUFV1,GPAM,PRKAB2,NDUFS1,ATM,NDUFA1,PPARGC1A,NDUFA11,SIRT1,PRKAG2,ACACA,ACACB,MLXIPL,HMGCR,CYP3A4,MLYCD,SLC2A4,NDUFB4,NR1I2,NDUFS2,SREBF1,NDUFS4,NDUFS6,PRKAB1
Nevirapine Pathway, Pharmacokinetics	PA165950411	PharmGKB	CYP2C9,CYP3A4,CYP2B6,CYP2D6,ABCC10
Theophylline Pathway, Pharmacokinetics	PA165958541	PharmGKB	CYP1A2,CYP3A4,CYP2E1,XDH
Valproic Acid Pathway, Pharmacodynamics	PA165959313	PharmGKB	HDAC1,OGDH,GOT1,GOT1L1,GOT2,HDAC9,SUCLA2,CACNA1C,CACNA1D,CACNA1F,SUCLG2,GOT2P2,SUCLG1,ABAT,HDAC11,ALDH5A1,GOT2P1
Pathway_PA165959425	PA165959425	PharmGKB	PDGFRB,MAP2K2,HRAS,NRAS,KRAS,RET,KIT,MAPK3,MAP2K1,MAPK1,AKT1,BRAF,FLT4,FGFR1,RAF1,FLT3,KDR,FLT1
Sorafenib Pharmacokinetics	PA165959537	PharmGKB	CYP2C9,CYP2C8,CYP2B6,UGT1A9,CYP3A4,UGT1A1
Sorafenib Pharmacodynamics	PA165959584	PharmGKB	PDGFRB,PIK3CD,HRAS,RET,AKT1,MAP2K1,FLT4,RAF1,FLT3,FLT1,PIK3CA,PIK3CB,NRAS,PIK3CG,MAPK3,MAPK1,PIK3R3,PIK3R2,PIK3R1,KRAS,KDR,PIK3C2B,PIK3C2A,FGFR1,MAP2K2,KIT,BRAF
Clomipramine Pathway, Pharmacokinetics	PA165960076	PharmGKB	CYP3A4,CYP2C19,CYP1A2,CYP2D6
Valproic Acid Pathway, Pharmacokinetics	PA165964265	PharmGKB	IVD,CYP2C9,UGT1A10,ECH1,ACSM1,CYP2B6,ACSM3,ACSM5,ACSM2A,UGT2B7,ACSM4,UGT2B15,ACSM2B,UGT1A8,UGT1A9,ACADSB,UGT1A4,HSD17B1,UGT1A6,UGT1A3,CYP2A6
Pathway_PA165964473	PA165964473	PharmGKB	HDAC1,OGDH,GOT1,GOT1L1,GOT2,HDAC9,SUCLA2,CACNA1C,CACNA1D,CACNA1F,SUCLG2,HDAC11,SUCLG1,ABAT,GOT2P2,ALDH5A1,GOT2P1
Mycophenolic acid Pathway, Pharmacokinetics	PA165964832	PharmGKB	UGT2B7,ABCG2,CES1,UGT1A10,CYP2C8,SLCO1B3,IMPDH2,IMPDH1,SLCO1B1,ABCB1,CES2,UGT1A8,UGT1A9,CYP3A4,UGT1A7,ABCC2
Mycophenolic acid Pathway, Pharmacokinetics/Pharmacodynamics	PA165964832	PharmGKB	UGT2B7,UGT1A10,CYP2C8,IMPDH1,IMPDH2,CES1,CES2,UGT1A8,UGT1A9,CYP3A4,UGT1A7,ABCC2
Pentose Phosphate Pathway (Erythrocyte)	PA165971634	PharmGKB	PGD,HK1,PGLS,GPI,G6PD
Oxidative Stress Pathway (Erythrocyte)	PA165979754	PharmGKB	GPX1,SOD1,GSR,CAT
Vemurafenib Pathway, Pharmacodynamics	PA165980050	PharmGKB	PDGFRB,PDGFRA,JUN,HRAS,EGFR,RRAS,MAP2K2,MAP2K1,ARAF,FLT4,RAF1,FLT1,NRAS,MAPK3,ETS1,MYC,KRAS,KDR,MRAS,FGFR4,FGFR2,FGFR3,FGFR1,BRAF,MAPK1
update your name in edit mode	PA165980050	PharmGKB	PDGFRB,PDGFRA,JUN,HRAS,EGFR,RRAS,MAP2K2,MAP2K1,ARAF,FLT4,RAF1,FLT1,NRAS,MAPK3,ETS1,MYC,KRAS,KDR,MRAS,FGFR4,FGFR2,FGFR3,FGFR1,BRAF,MAPK1
Pathway_PA165980337	PA165980337	PharmGKB	GPX1,SOD1,GSR,CAT
Oxidative Stress Pathway (Erythrocyte)	PA165980399	PharmGKB	GPX1,SOD1,GSR,CAT
Oxidative Stress Regulatory Pathway (Erythrocyte)	PA165980399	PharmGKB	TXN,GSR,SOD1,PRDX2,CAT,GPX1,TXNRD1
Uric Acid-Lowering Drugs Pathway, Pharmacodynamics	PA165980774	PharmGKB	SLC2A5,KHK,XDH
Methylene Blue Pathway, Pharmacodynamics	PA165980834	PharmGKB	BLVRB,G6PD,CYB5R3,CYB5A
Doxepin Pathway, Pharmacokinetics	PA165981686	PharmGKB	CYP2C9,CYP3A4,CYP2C19,CYP1A2,CYP2D6
Diuretics Pathway, Pharmacodynamics	PA165984799	PharmGKB	FXYD2,ADD1,PRKAA2,BSND,ARRB2,OXSR1,CLCNKB,ADRBK1,ADRBK2,SCNN1G,MAPK3,MAPK1,SLC12A1,WNK3,WNK1,PRKCE,WNK4,ZEB1,KCNJ1,SGK1,PPP2CA,NEDD4L,ATP1A1,STK39
Tacrolimus/Cyclosporine Pathway, Pharmacodynamics	PA165985892	PharmGKB	TGFB1,NFATC2,NFATC4,PPP3R2,PPP3R1,NFATC1,FOSB,JUNB,JUND,MAPK14,MAFK,MAP2K7,MAP2K6,REL,MAP2K4,BATF,MAFA,MAFB,MAFF,MAFG,MAP3K1,JUN,MAP3K7,FOSL1,FOSL2,NFKB1,NFKB2,FOS,MAF,RELB,MAPK8,MAP2K3,RELA,NRL,JDP2,MAP3K11,IL2,ATF3,FKBP1A,PPP3CA,PPP3CB,PPP3CC,PPIA,ATF2
Tacrolimus/Cyclosporine Pathway, Pharmacokinetics	PA165986114	PharmGKB	CYP3A4,ABCB1
Pathway_PA165986194 -need delete	PA165986194	PharmGKB	PTGS2,PTGS1,UGT1A9,UGT1A6,UGT1A1,CYP2D6,UGT2B15,ABCB1,SULT1A4,SULT2A1,NAT2,SULT1A1,ABCG2,SULT1A3,CYP2A6,SULT1E1,CYP3A4,CYP1A1,CYP1A2,CYP2E1,GSTP1,ABCC4,ABCC5,ABCC1
Acetaminophen Pathway, Pharmacokinetics	PA165986279	PharmGKB	PTGS2,PTGS1,UGT1A9,UGT1A6,UGT1A1,CYP2D6,UGT2B15,ABCB1,SULT1A4,SULT2A1,NAT2,SULT1A1,ABCG2,SULT1A3,CYP2A6,SULT1E1,CYP3A4,CYP1A1,CYP1A2,CYP2E1,GSTP1,ABCC4,ABCC5,ABCC1
Venlafaxine Pathway, Pharmacokinetics	PA166014758	PharmGKB	SLC6A2,CYP3A4,CYP2C19,CYP2D6,SLC6A4
Ibuprofen Pathway, Pharmacokinetics	PA166041114	PharmGKB	CYP2C9,UGT2B7,UGT1A10,CYP2C8,SLC22A6,SLCO1B1,AMACR,SLCO1B3,CYP2C19,UGT1A9,ABCC4,CYP3A4,SLC15A1,SLC22A8,ABCC2,UGT1A3
Abacavir Pathway, Pharmacokinetics/Pharmacodynamics	PA166104634	PharmGKB	PKLR,PCK1,NME1,NME2,CKB,CKM,HLA-B,GUK1,ADH1B,ADH1A,ADH1C,PGK1,ADK,PKM
Uricosurics Pathway, Pharmacodynamics	PA166114721	PharmGKB	ABCG2,SLC22A11,SLC2A9,SLC22A12,SLC17A1,SLC22A13,SLC22A6,ABCC4,SLC17A3,SLC22A8,LGALS9
Irinotecan Pathway, Pharmacokinetics	PA2001	PharmGKB	CES1,ABCG2,UGT1A10,UGT1A1,SLCO1B1,ABCB1,CES2,BCHE,UGT1A9,CYP3A4,ABCC1,ABCC2
Nicotine Pathway, Pharmacokinetics	PA2011	PharmGKB	UGT2B7,FMO3,AOX2P,CYP2A13,CYP2B6,AOX1,UGT2B10,CYP2A6,UGT1A4,UGT1A9
ACE Inhibitor Pathway, Pharmacodynamics	PA2023	PharmGKB	TGFB1,NOS3,ACE,AGTR2,ATP6AP2,KNG1,CTSG,MAPK3,CMA1,MAPK1,REN,MAS1,CYP11B2,MME,ACE2,AGTR1,AGT
Beta-agonist/Beta-blocker Pathway, Pharmacodynamics	PA2024	PharmGKB	PRKCH,PLCB1,GNB1,ARRB2,ARRB1,PRKCDBP,ELF2,GNAI2,ADRBK1,ADRBK2,GNAI1,SLC9A3P1,SLC9A5,SLC9A6,SLC9A1,SLC9A2,SLC9A3,SLC9A3R2,CACNA1B,CACNA1C,CACNA1D,PRKACG,GNAI3,MAPK1,GNG4,PRKACA,CACNA1S,RGS1,SRC,PLCB2,PLCB3,PLCB4,PRKCA,GNB4,ADCY3,PRKCB,PRKCE,PRKCD,PRKCG,GNB2,PRKCZ,GNB3,PRKCQ,ITPR1,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,GNAS,SLC9A4,ADCY8,ADCY9,GNG7,ADRB2,GNG5,GNG2,GNG3,PRKACB,PDE4A,PDE4B,PDE4C,PDE4D,SLC9A3R1
Etoposide Pathway, Pharmacokinetics/Pharmacodynamics	PA2025	PharmGKB	PTGS2,PTGS1,GSTT1,MPO,ABCB1,ABCC1,NR1I2,GSTP1,CYP3A4,TOP2A,TOP2B,UGT1A1,ABCC3
Glucocorticoid Pathway (HPA Axis), Pharmacodynamics	PA2026	PharmGKB	UCN,POMC,UCN2,UCN3,CRH,CRHR2,CRHR1
Glucocorticoid Pathway (Peripheral Tissue), Pharmacodynamics	PA2027	PharmGKB	NCOA3,NR3C1,SERPINA6,HSPA4,TBP,FKBP4,ST13,HSP90AA1,CREBBP
